"id","name","description"
"1","The Empire Strikes Back","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda."
"2","Return of the Jedi","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star."
"12","name","description"
"14","name","description_2023/11/26 9:45:10"
"16","name","description_2023/11/26 9:45:30"
"17","name","description_2023/11/26 9:45:33"
"18","name","description_2023/11/26 9:46:27"
"22","name","description_2023/11/26 9:47:6"
"24","name","description_2023/11/26 9:47:39"
"27","name","description_2023/11/26 9:47:52"